"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.725575395E0	8.399999738E-1	2.123999977E1	-4.050000000E1	4.573940522E1
1.735572928E0	9.599999785E-1	2.123999977E1	-4.061999893E1	4.584804798E1
1.745570494E0	9.599999785E-1	2.129999924E1	-4.037999725E1	4.566350562E1
1.755568060E0	2.399999946E-1	2.123999977E1	-3.977999878E1	4.509593655E1
1.765565626E0	-5.999999866E-2	2.160000038E1	-3.971999741E1	4.521329241E1
1.775563192E0	1.199999973E-1	2.184000015E1	-3.977999878E1	4.538114487E1
1.785560758E0	1.199999973E-1	2.147999954E1	-4.002000046E1	4.542031723E1
1.795558291E0	-1.199999973E-1	2.213999939E1	-4.061999893E1	4.626206098E1
1.805555824E0	-5.999999866E-2	2.202000046E1	-4.061999893E1	4.620463541E1
1.815553424E0	1.799999923E-1	2.165999985E1	-4.007999802E1	4.555869000E1
1.825552124E0	2.399999946E-1	2.219999886E1	-3.989999771E1	4.566078587E1
1.835549690E0	8.399999738E-1	2.189999962E1	-3.923999786E1	4.494544488E1
1.845547256E0	8.399999738E-1	2.219999886E1	-3.989999771E1	4.566788113E1
1.855578189E0	6.599999666E-1	2.219999886E1	-4.002000046E1	4.576981523E1
1.865609055E0	5.999999642E-1	2.219999886E1	-4.020000076E1	4.592646307E1
1.875639955E0	5.399999619E-1	2.195999908E1	-4.050000000E1	4.607367100E1
1.885670855E0	1.019999981E0	2.135999870E1	-3.995999908E1	4.532208591E1
1.895701721E0	1.319999933E0	2.087999916E1	-4.002000046E1	4.515879982E1
1.905732621E0	1.259999990E0	2.045999908E1	-4.031999969E1	4.523164310E1
1.915763487E0	1.199999928E0	2.063999939E1	-4.007999802E1	4.509829061E1
1.925801253E0	7.199999690E-1	2.105999947E1	-4.002000046E1	4.522877861E1
1.935832119E0	5.999999866E-2	2.142000008E1	-3.989999771E1	4.528608860E1
1.945863019E0	2.399999946E-1	2.123999977E1	-3.936000061E1	4.472588555E1
1.955893885E0	5.999999866E-2	2.118000031E1	-3.965999985E1	4.496122330E1
1.965924785E0	2.999999821E-1	2.076000023E1	-3.971999741E1	4.481903394E1
1.975955685E0	8.999999762E-1	2.093999863E1	-3.989999771E1	4.506998291E1
1.985986551E0	7.199999690E-1	2.153999901E1	-4.007999802E1	4.550710053E1
1.996017451E0	6.599999666E-1	2.189999962E1	-4.031999969E1	4.588842946E1
2.006048317E0	7.199999690E-1	2.255999947E1	-4.061999893E1	4.646995039E1
2.016079217E0	4.799999893E-1	2.261999893E1	-4.079999924E1	4.665334596E1
2.026110083E0	7.199999690E-1	2.243999863E1	-4.061999893E1	4.641181155E1
