"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.699889700E-1	-6.943397224E-2	-7.422251999E-2	9.840469360E0	9.840994223E0
2.719900360E-1	-7.182824612E-2	-6.943397224E-2	9.838075638E0	9.838582857E0
2.739916360E-1	-6.703969836E-2	-7.661679387E-2	9.835680962E0	9.836207828E0
2.759932360E-1	-6.703969836E-2	-7.422251999E-2	9.847652435E0	9.848160325E0
2.779939360E-1	-7.182824612E-2	-7.182824612E-2	9.847652435E0	9.848176333E0
2.799952690E-1	-8.858817071E-2	-7.661679387E-2	9.840469360E0	9.841166355E0
2.819968690E-1	-8.619388938E-2	-7.182824612E-2	9.854835510E0	9.855474195E0
2.839942690E-1	-8.858817071E-2	-6.703969836E-2	9.845257759E0	9.845884548E0
2.859956020E-1	-8.858817071E-2	-6.703969836E-2	9.847652435E0	9.848279072E0
2.879972020E-1	-8.379961550E-2	-7.182824612E-2	9.857229233E0	9.857847119E0
2.899985680E-1	-6.464541703E-2	-7.661679387E-2	9.838075638E0	9.838586353E0
2.920002010E-1	-5.267404765E-2	-7.901106775E-2	9.845257759E0	9.845715700E0
2.940015340E-1	-5.267404765E-2	-8.140534163E-2	9.838075638E0	9.838553432E0
2.960031670E-1	-5.985686928E-2	-6.464541703E-2	9.845257759E0	9.845651945E0
2.980023330E-1	-7.182824612E-2	-6.943397224E-2	9.845257759E0	9.845764608E0
3.000036660E-1	-7.182824612E-2	-8.140534163E-2	9.862017632E0	9.862615165E0
3.020019660E-1	-8.140534163E-2	-7.901106775E-2	9.873989105E0	9.874640775E0
3.040030320E-1	-7.901106775E-2	-6.943397224E-2	9.859623909E0	9.860184960E0
3.060043650E-1	-8.379961550E-2	-6.943397224E-2	9.850046158E0	9.850647327E0
3.080057310E-1	-7.182824612E-2	-6.703969836E-2	9.847652435E0	9.848142571E0
3.100128310E-1	-8.379961550E-2	-7.182824612E-2	9.862017632E0	9.862635218E0
3.120141640E-1	-7.661679387E-2	-7.422251999E-2	9.859623909E0	9.860200948E0
3.140155300E-1	-7.901106775E-2	-7.422251999E-2	9.862017632E0	9.862613421E0
3.160129300E-1	-6.943397224E-2	-8.140534163E-2	9.852440834E0	9.853021785E0
3.180139960E-1	-7.901106775E-2	-7.901106775E-2	9.847652435E0	9.848286348E0
3.200128960E-1	-8.619388938E-2	-8.140534163E-2	9.859623909E0	9.860336700E0
3.220142290E-1	-8.619388938E-2	-7.661679387E-2	9.840469360E0	9.841145094E0
3.240225620E-1	-6.943397224E-2	-7.661679387E-2	9.866806030E0	9.867347792E0
3.260239280E-1	-7.422251999E-2	-8.379961550E-2	9.859623909E0	9.860259377E0
