"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.729387771E0	2.126643062E-2	3.754074872E-2	-2.857689857E0	2.858015551E0
1.739485304E0	1.191013694E0	1.642242968E-1	-2.901983261E-1	1.236809729E0
1.749582837E0	1.227309346E0	3.263859749E-1	7.472600937E-1	1.473503880E0
1.759680370E0	6.632558107E-1	6.391290575E-2	3.220682144E-1	7.400817960E-1
1.769777870E0	3.160071373E-1	-2.362396568E-1	-7.824649811E-1	8.763110937E-1
1.779875403E0	-5.684427917E-2	-2.920376658E-1	-1.742489815E0	1.767706996E0
1.789972936E0	-4.507087171E-2	-3.582063317E-1	-1.741574287E0	1.778601742E0
1.800070502E0	-2.390868366E-1	-1.932089031E-1	-2.147335529E0	2.169226146E0
1.810168035E0	-1.785030663E-1	-1.031726599E-2	-2.244537830E0	2.251648255E0
1.820265568E0	-1.069168374E-1	5.083649755E-1	-1.576455116E0	1.659842430E0
1.830329734E0	-3.979913890E-2	6.382422447E-1	-9.764757156E-1	1.167236890E0
1.840393934E0	8.287529349E-1	1.229420751E-1	1.002579689E0	1.306565044E0
1.850458167E0	1.187710285E0	1.186607480E-1	1.650701523E0	2.037044823E0
1.860522367E0	7.867535353E-1	-1.035260856E-1	1.566523552E0	1.756045220E0
1.870586600E0	7.882751822E-1	-9.824231267E-2	1.566431046E0	1.756341520E0
1.880650800E0	2.760781646E-1	-4.050948620E-1	7.046356201E-1	8.583893972E-1
1.890715000E0	-1.998489201E-1	-3.719691932E-1	-5.018606186E-1	6.558694627E-1
1.900779200E0	-1.580250710E-1	-2.052576840E-2	-2.358713150E-1	2.846550675E-1
1.910844833E0	1.666737050E-1	3.185736537E-1	1.258134842E-1	3.809177465E-1
1.920909066E0	2.602260709E-1	2.958459854E-1	1.427545547E-1	4.190719723E-1
1.930939932E0	2.399811596E-1	3.095204532E-1	1.430673599E-1	4.169677894E-1
1.940970832E0	9.260922074E-1	-3.358772397E-1	8.306703568E-1	1.288593628E0
1.950968365E0	1.083573103E0	-2.194210887E-1	1.338610649E0	1.736132124E0
1.960965898E0	6.801331043E-1	-1.585566401E-1	1.316959381E0	1.490672083E0
1.970963431E0	1.938869953E-1	-3.583351970E-1	8.184957504E-1	9.142929365E-1
1.980960997E0	2.130006254E-1	-3.451724350E-1	8.178958893E-1	9.129441177E-1
1.990991863E0	-1.260878146E-2	-7.875367403E-1	-3.056554794E-1	8.448658892E-1
2.001022763E0	1.391524076E-2	-7.672578692E-1	-3.063192368E-1	8.262625168E-1
2.011053763E0	3.270043135E-1	-5.570455194E-1	-1.557846069E-1	6.644549461E-1
2.021084663E0	8.182635903E-1	-4.728949070E-1	-2.684640884E-1	9.824753753E-1
2.031115529E0	3.880842328E-1	-5.247848034E-1	-4.768257141E-1	8.083138148E-1
2.041146429E0	3.889203072E-1	-5.287916660E-1	-4.768400192E-1	8.113297944E-1
2.051177329E0	2.917892933E-1	-5.260720253E-1	-3.667678833E-1	7.045647222E-1
2.061208195E0	-8.301785588E-2	-2.318755388E-1	2.986507416E-1	3.871052768E-1
2.071239095E0	-1.454324871E-1	-2.941232324E-1	-1.803913116E-1	3.744330507E-1
2.081269961E0	-1.424224526E-1	-2.917211652E-1	-1.804351807E-1	3.714057722E-1
2.091300861E0	-1.432964355E-1	-3.362212181E-1	-6.255292892E-1	7.244759952E-1
2.101331694E0	3.694351017E-2	-2.110543400E-1	-4.790515900E-1	5.247848923E-1
2.111399027E0	4.001169801E-1	-2.999150455E-1	-1.385993958E-1	5.188953890E-1
2.121463227E0	4.292083383E-1	-2.858472466E-1	4.123306274E-2	5.173283401E-1
2.131527460E0	1.245127320E-1	-8.776433021E-2	1.824522018E-1	2.376863565E-1
2.141591660E0	-5.062994361E-2	1.812791824E-1	4.217262268E-1	4.618208999E-1
2.151655860E0	-4.682289064E-2	1.783165187E-1	4.216442108E-1	4.601880099E-1
2.161720060E0	-2.147521973E-1	5.145766735E-1	4.935417175E-1	7.446415823E-1
2.171784260E0	-1.978612542E-1	3.818518221E-1	1.034488678E-1	4.423364763E-1
2.181848493E0	-2.058748305E-1	3.769837320E-1	1.036472321E-1	4.418641519E-1
2.191912693E0	1.129562557E-1	2.220244408E-1	1.493072510E-1	2.904249011E-1
2.201976926E0	2.239033431E-1	1.186409742E-1	5.876178741E-1	6.399243344E-1
2.212039626E0	4.143598974E-1	-1.362486556E-2	1.085785866E0	1.162243825E0
2.222103826E0	3.644500375E-1	1.822378486E-2	1.157772064E0	1.213916014E0
2.232168026E0	3.644718528E-1	-5.055904388E-3	1.157903671E0	1.213921828E0
2.242232226E0	-2.310290337E-1	2.111229151E-1	3.870506287E-1	4.977504283E-1
2.252296426E0	-5.807876587E-1	2.360273600E-1	1.431570053E-1	6.430529895E-1
2.262360626E0	-7.740589976E-1	3.710298538E-1	1.652164459E-1	8.741435570E-1
2.272424859E0	-6.622545123E-1	5.256785750E-1	-9.998321533E-2	8.514197829E-1
2.282489059E0	-6.734046340E-1	5.141878128E-1	-9.945964813E-2	8.530856519E-1
2.292519959E0	-4.965397716E-1	6.122031808E-1	-1.661672592E-1	8.055780765E-1
2.302550825E0	-2.301779389E-1	5.528690815E-1	-7.918357849E-3	5.989230378E-1
2.312581591E0	3.104094267E-1	2.047720850E-1	5.382432938E-1	6.542105641E-1
2.322612457E0	3.843852282E-1	-4.753440619E-3	5.409460068E-1	6.636242770E-1
2.332643357E0	1.762254238E-1	5.416387320E-2	4.046859741E-1	4.447019933E-1
2.342674223E0	-2.126077116E-1	2.487549186E-2	2.864265442E-2	2.159658092E-1
2.352705089E0	-4.434149861E-1	-1.691496372E-2	-4.822540283E-2	4.463503729E-1
2.362735989E0	-5.387268066E-1	6.403163075E-2	-3.424739838E-2	5.435986628E-1
2.372766855E0	-5.950679183E-1	1.452770084E-1	-5.387687683E-2	6.149097124E-1
2.382797755E0	-6.165111065E-1	3.448995948E-1	9.881401062E-2	7.133063042E-1
2.392828621E0	-6.505718231E-1	4.401427507E-1	8.388519287E-2	7.899405444E-1
2.402859521E0	-6.357944012E-1	4.463655949E-1	8.344554901E-2	7.813065496E-1
2.412853954E0	-4.640054703E-1	3.752032518E-1	-7.960414886E-2	6.020094494E-1
2.422851554E0	-6.624548435E-1	5.088796020E-1	1.549472809E-1	8.495960975E-1
2.432849120E0	-6.605148911E-1	5.098588467E-1	1.548919678E-1	8.486621746E-1
2.442846686E0	-3.739618659E-1	5.688077211E-1	-1.444082260E-1	6.958760209E-1
2.452844252E0	-3.206929266E-1	4.821680784E-1	-4.388666153E-1	7.265906104E-1
2.462841852E0	-3.051072359E-1	3.911070824E-1	-5.633420944E-1	7.506060822E-1
2.472839418E0	-3.447754085E-1	5.000803471E-1	-5.441732407E-1	8.155212760E-1
2.482836951E0	-3.774345517E-1	6.425342560E-1	-2.615785599E-1	7.897660754E-1
2.492867884E0	-2.720191181E-1	5.965764523E-1	-3.523855209E-1	7.443610813E-1
2.502898750E0	-1.935504675E-1	5.325564146E-1	-4.814062119E-1	7.435254259E-1
2.512929650E0	-3.234495595E-2	5.845771432E-1	-3.040885925E-1	6.597321461E-1
2.522960516E0	-2.067300081E-1	7.127381563E-1	4.959106445E-5	7.421138580E-1
2.532991416E0	-1.988974661E-1	7.067660093E-1	2.193450928E-4	7.342196143E-1
2.543022282E0	6.248481572E-2	1.090696812E0	8.205604553E-2	1.095562450E0
2.553053182E0	1.354828775E-1	1.065940619E0	2.983112335E-1	1.115156762E0
2.563084082E0	3.590745628E-1	9.393048882E-1	4.238939285E-1	1.091290189E0
2.573114948E0	4.695423543E-1	9.095525742E-1	1.762323380E-1	1.038659590E0
2.583145848E0	3.210959435E-1	9.123364687E-1	-1.837120056E-1	9.844849100E-1
2.593176748E0	7.207699865E-2	7.755129337E-1	-2.083330154E-1	8.062369685E-1
2.603207648E0	7.884081453E-2	6.936427355E-1	-1.374979019E-1	7.115207597E-1
2.613238514E0	1.305669993E-1	7.096410990E-1	-8.358478546E-2	7.263777578E-1
2.623269414E0	1.353919357E-1	6.867505908E-1	-8.235645294E-2	7.047977976E-1
2.633300280E0	9.408824891E-2	6.375042200E-1	8.895111084E-2	6.505201989E-1
2.643331180E0	6.936109066E-2	7.364757061E-1	2.316112518E-1	7.751459208E-1
2.653362080E0	3.759838641E-3	8.162791729E-1	1.446428299E-1	8.290038436E-1
2.663392946E0	4.070679843E-2	6.485522985E-1	4.889545441E-1	8.132365422E-1
2.673423846E0	3.080490232E-2	6.206933260E-1	4.909210205E-1	7.919675469E-1
2.683454712E0	3.733215630E-1	7.069899440E-1	6.222963333E-1	1.013141894E0
2.693485612E0	1.408135295E-1	5.216777921E-1	2.058715820E-1	5.782380800E-1
2.703516478E0	1.430056691E-1	4.874470234E-1	2.085018158E-1	5.491158614E-1
2.713580744E0	-2.619982511E-2	3.502905965E-1	5.147027969E-1	6.231443669E-1
2.723644910E0	-8.154116571E-3	3.238449097E-1	5.142612457E-1	6.077883217E-1
2.733709110E0	-6.445497274E-4	2.999451756E-1	5.162525177E-1	5.970629664E-1
2.743773310E0	-4.786005020E-1	3.386855125E-1	6.667156219E-1	8.878491074E-1
2.753837510E0	-4.731998444E-1	3.160534501E-1	6.687316895E-1	8.780717217E-1
2.763901676E0	-2.883763015E-1	5.653321147E-1	9.223003387E-1	1.119553128E0
2.773965876E0	-2.825171947E-1	5.366086960E-1	9.250173569E-1	1.106084069E0
2.784030109E0	-3.292019963E-1	4.942331910E-1	6.476125717E-1	8.786594588E-1
2.794060942E0	-4.685761631E-1	4.442579150E-1	3.961753845E-1	7.575510880E-1
2.804091842E0	-4.469189942E-1	4.568196535E-1	2.927227020E-1	7.029277086E-1
2.814122708E0	-3.362872303E-1	1.857917309E-1	5.484676361E-2	3.880925611E-1
2.824153608E0	-3.279933333E-1	1.743193865E-1	5.606937408E-2	3.756469751E-1
2.834217841E0	2.762043290E-2	-5.416357517E-2	6.890459061E-1	6.917230962E-1
2.844282074E0	3.146801144E-2	-6.363427639E-2	6.900777817E-1	6.937196131E-1
2.854346274E0	1.090389118E-1	-7.093346119E-2	9.789896011E-1	9.875938838E-1
