"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.580378570E-1	-1.197137404E-2	-1.604164094E-1	9.811738014E0	9.813056588E0
3.600391900E-1	-2.394274808E-3	-1.460507661E-1	9.823709488E0	9.824795401E0
3.620405560E-1	-2.394274808E-3	-1.556278616E-1	9.804554939E0	9.805790296E0
3.640469890E-1	2.394274808E-3	-1.580221355E-1	9.802161217E0	9.803435176E0
3.660485550E-1	1.436564885E-2	-1.556278616E-1	9.797372818E0	9.798619318E0
3.680496550E-1	9.577099234E-3	-1.412622184E-1	9.787795067E0	9.788819081E0
3.700511210E-1	1.197137404E-2	-1.412622184E-1	9.787795067E0	9.788821717E0
3.720522210E-1	7.182824425E-3	-1.460507661E-1	9.787795067E0	9.788887306E0
3.740533210E-1	7.182824425E-3	-1.484450400E-1	9.814132690E0	9.815257918E0
3.760546540E-1	1.197137404E-2	-1.364736706E-1	9.794978142E0	9.795936156E0
3.780559870E-1	4.788549617E-3	-1.340793967E-1	9.792584419E0	9.793503450E0
3.800573530E-1	-7.182824425E-3	-1.364736706E-1	9.785401344E0	9.786355610E0
3.820584530E-1	-2.394274808E-3	-1.460507661E-1	9.787795067E0	9.788884964E0
3.840597860E-1	7.182824425E-3	-1.508393139E-1	9.790189743E0	9.791354314E0
3.860647520E-1	7.182824425E-3	-1.436564922E-1	9.783006668E0	9.784063995E0
3.880660850E-1	1.436564885E-2	-1.580221355E-1	9.785401344E0	9.786687736E0
3.900672510E-1	1.675992459E-2	-1.652049571E-1	9.792584419E0	9.793992198E0
3.920688170E-1	1.915419847E-2	-1.508393139E-1	9.809344292E0	9.810522658E0
3.940703500E-1	2.873129770E-2	-1.412622184E-1	9.806949615E0	9.808009037E0
3.960717160E-1	7.182824425E-3	-1.508393139E-1	9.816526413E0	9.817687860E0
3.980733160E-1	-4.788549617E-3	-1.484450400E-1	9.821314812E0	9.822437757E0
4.000734820E-1	-4.788549617E-3	-1.604164094E-1	9.811738014E0	9.813050454E0
4.020748480E-1	9.577099234E-3	-1.628106833E-1	9.797372818E0	9.798730182E0
4.040762140E-1	9.577099234E-3	-1.508393139E-1	9.799766541E0	9.800932020E0
4.060775470E-1	7.182824425E-3	-1.412622184E-1	9.797372818E0	9.798393784E0
4.080791470E-1	0.000000000E0	-1.436564922E-1	9.792584419E0	9.793638078E0
4.100804800E-1	2.394274808E-3	-1.484450400E-1	9.802161217E0	9.803285479E0
4.120821130E-1	-7.182824425E-3	-1.556278616E-1	9.814132690E0	9.815369177E0
4.140837130E-1	0.000000000E0	-1.508393139E-1	9.802161217E0	9.803321734E0
4.160847790E-1	1.197137404E-2	-1.484450400E-1	9.797372818E0	9.798504650E0
