"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.002513529E0	-6.599999666E-1	2.195999908E1	-4.097999954E1	4.649771524E1
2.012511095E0	-2.399999946E-1	2.237999916E1	-4.181999969E1	4.743241863E1
2.022508628E0	-5.999999642E-1	2.310000038E1	-4.247999954E1	4.835825037E1
2.032506194E0	-4.799999893E-1	2.279999924E1	-4.229999924E1	4.805580403E1
2.042503794E0	-2.999999821E-1	2.268000031E1	-4.229999924E1	4.799752441E1
2.052501360E0	-2.399999946E-1	2.261999893E1	-4.241999817E1	4.807471473E1
2.062498893E0	-4.799999893E-1	2.243999863E1	-4.236000061E1	4.793906121E1
2.072495893E0	-3.599999845E-1	2.297999954E1	-4.277999878E1	4.856272516E1
2.082493459E0	-2.999999821E-1	2.321999931E1	-4.211999893E1	4.809732506E1
2.092491025E0	-4.799999893E-1	2.310000038E1	-4.181999969E1	4.777816229E1
2.102488591E0	-4.199999869E-1	2.334000015E1	-4.175999832E1	4.784171263E1
2.112486191E0	-4.799999893E-1	2.285999870E1	-4.175999832E1	4.760995065E1
2.122483757E0	-8.399999738E-1	2.303999901E1	-4.200000000E1	4.791186862E1
2.132481323E0	-1.079999924E0	2.285999870E1	-4.175999832E1	4.761977951E1
2.142478889E0	-1.319999933E0	2.315999985E1	-4.223999786E1	4.819071915E1
2.152476422E0	-1.139999986E0	2.303999901E1	-4.223999786E1	4.812856297E1
2.162473988E0	-1.079999924E0	2.243999863E1	-4.211999893E1	4.773692751E1
2.172471521E0	-7.799999714E-1	2.261999893E1	-4.175999832E1	4.749916011E1
2.182469054E0	-2.399999946E-1	2.195999908E1	-4.086000061E1	4.638791663E1
2.192466620E0	-5.999999866E-2	2.255999947E1	-4.068000031E1	4.651687437E1
2.202464186E0	5.999999866E-2	2.292000008E1	-4.086000061E1	4.684943600E1
2.212461719E0	-1.199999973E-1	2.310000038E1	-4.134000015E1	4.735630930E1
2.222459285E0	-1.799999923E-1	2.315999985E1	-4.152000046E1	4.754291147E1
2.232456851E0	-1.799999923E-1	2.334000015E1	-4.152000046E1	4.763085602E1
2.242454384E0	-2.999999821E-1	2.321999931E1	-4.175999832E1	4.778237989E1
2.252451950E0	-1.799999923E-1	2.292000008E1	-4.218000031E1	4.800532501E1
2.262449483E0	-4.799999893E-1	2.327999878E1	-4.284000015E1	4.875914639E1
2.272446183E0	-6.599999666E-1	2.268000031E1	-4.254000092E1	4.821275445E1
2.282443783E0	-3.599999845E-1	2.261999893E1	-4.223999786E1	4.791671286E1
2.292441383E0	2.399999946E-1	2.219999886E1	-4.134000015E1	4.692433443E1
2.302438949E0	7.199999690E-1	2.184000015E1	-4.025999832E1	4.580798480E1
2.312436482E0	5.399999619E-1	2.160000038E1	-4.037999725E1	4.579733392E1
2.322434048E0	7.199999690E-1	2.123999977E1	-3.989999771E1	4.520692212E1
2.332464948E0	4.199999869E-1	2.171999931E1	-4.020000076E1	4.569436324E1
2.342495814E0	4.799999893E-1	2.165999985E1	-4.020000076E1	4.566646532E1
2.352526714E0	8.999999762E-1	2.207999992E1	-4.031999969E1	4.597867736E1
2.362557614E0	5.999999642E-1	2.250000000E1	-4.086000061E1	4.664921918E1
2.372588480E0	5.399999619E-1	2.273999977E1	-4.127999878E1	4.713212799E1
2.382619346E0	0.000000000E0	2.315999985E1	-4.193999863E1	4.790980148E1
2.392650212E0	-4.799999893E-1	2.345999908E1	-4.187999725E1	4.800558433E1
2.402681078E0	-5.399999619E-1	2.381999969E1	-4.152000046E1	4.787060083E1
2.412711944E0	-8.399999738E-1	2.381999969E1	-4.104000092E1	4.745924210E1
2.422742810E0	-7.199999690E-1	2.393999863E1	-4.097999954E1	4.746580134E1
2.432773743E0	-5.399999619E-1	2.369999886E1	-4.145999908E1	4.775890566E1
2.442804643E0	-5.999999642E-1	2.357999992E1	-4.175999832E1	4.796117030E1
2.452835543E0	-8.399999738E-1	2.327999878E1	-4.218000031E1	4.818522978E1
2.462866409E0	-9.599999785E-1	2.297999954E1	-4.205999756E1	4.793793251E1
2.472897309E0	-1.199999928E0	2.303999901E1	-4.247999954E1	4.834078935E1
2.482928209E0	-8.999999762E-1	2.321999931E1	-4.205999756E1	4.805228156E1
2.492959075E0	-4.199999869E-1	2.303999901E1	-4.175999832E1	4.769607336E1
2.502989975E0	-2.399999946E-1	2.327999878E1	-4.193999863E1	4.796852539E1
2.513020841E0	-3.599999845E-1	2.351999855E1	-4.152000046E1	4.772033497E1
2.523051741E0	-5.399999619E-1	2.321999931E1	-4.181999969E1	4.783693492E1
2.533082607E0	-8.999999762E-1	2.351999855E1	-4.181999969E1	4.798867269E1
2.543113507E0	-1.259999990E0	2.345999908E1	-4.205999756E1	4.817678436E1
2.553144373E0	-7.799999714E-1	2.310000038E1	-4.187999725E1	4.783463795E1
2.563175273E0	-8.399999738E-1	2.321999931E1	-4.170000076E1	4.773640154E1
2.573206173E0	-1.019999981E0	2.334000015E1	-4.152000046E1	4.764143622E1
2.583237006E0	-8.399999738E-1	2.310000038E1	-4.115999985E1	4.720658010E1
2.593267872E0	-8.399999738E-1	2.268000031E1	-4.050000000E1	4.642561808E1
2.603298772E0	-9.599999785E-1	2.255999947E1	-4.104000092E1	4.684182801E1
2.613329672E0	-6.599999666E-1	2.261999893E1	-4.121999741E1	4.702327230E1
2.623360538E0	-4.799999893E-1	2.273999977E1	-4.139999771E1	4.723661504E1
2.633358071E0	-2.999999821E-1	2.321999931E1	-4.200000000E1	4.799227405E1
2.643355604E0	-5.999999866E-2	2.292000008E1	-4.134000015E1	4.726865363E1
2.653353137E0	1.199999973E-1	2.237999916E1	-4.134000015E1	4.700930094E1
2.663350703E0	5.999999866E-2	2.250000000E1	-4.139999771E1	4.711914060E1
2.673348269E0	-1.799999923E-1	2.231999969E1	-4.115999985E1	4.682264809E1
2.683345835E0	-4.199999869E-1	2.202000046E1	-4.175999832E1	4.721180234E1
2.693343401E0	-2.399999946E-1	2.165999985E1	-4.139999771E1	4.672443690E1
2.703340967E0	5.999999866E-2	2.111999893E1	-4.031999969E1	4.551659401E1
2.713338500E0	4.199999869E-1	2.081999969E1	-3.989999771E1	4.500731723E1
2.723336066E0	1.079999924E0	2.100000000E1	-3.887999725E1	4.420204278E1
2.733333566E0	7.799999714E-1	2.129999924E1	-3.893999863E1	4.439168684E1
2.743331099E0	1.199999928E0	2.147999954E1	-3.923999786E1	4.475050628E1
2.753328665E0	1.139999986E0	2.118000031E1	-3.941999817E1	4.476414043E1
2.763326231E0	1.079999924E0	2.111999893E1	-3.965999985E1	4.494592687E1
2.773323797E0	1.500000000E0	2.153999901E1	-3.989999771E1	4.536773495E1
2.783321330E0	8.399999738E-1	2.202000046E1	-4.104000092E1	4.658183868E1
2.793318896E0	2.999999821E-1	2.297999954E1	-4.121999741E1	4.719384033E1
2.803316462E0	0.000000000E0	2.369999886E1	-4.205999756E1	4.827766917E1
2.813314028E0	-3.599999845E-1	2.321999931E1	-4.193999863E1	4.794018620E1
2.823311594E0	-5.399999619E-1	2.297999954E1	-4.145999908E1	4.740573281E1
2.833309160E0	0.000000000E0	2.268000031E1	-4.157999802E1	4.736326265E1
2.843306760E0	-4.199999869E-1	2.255999947E1	-4.079999924E1	4.662370549E1
2.853304326E0	-3.599999845E-1	2.310000038E1	-4.104000092E1	4.709587342E1
2.863301926E0	-3.599999845E-1	2.315999985E1	-4.134000015E1	4.738682101E1
2.873299459E0	-3.599999845E-1	2.315999985E1	-4.091999817E1	4.702086179E1
2.883966331E0	1.199999973E-1	2.315999985E1	-4.157999802E1	4.759512820E1
2.893963864E0	-1.199999973E-1	2.310000038E1	-4.175999832E1	4.772338921E1
2.903961397E0	-1.799999923E-1	2.310000038E1	-4.175999832E1	4.772357779E1
2.913958963E0	-7.799999714E-1	2.327999878E1	-4.229999924E1	4.828930191E1
2.923956529E0	-9.599999785E-1	2.285999870E1	-4.205999756E1	4.788052355E1
2.933987429E0	-1.019999981E0	2.255999947E1	-4.200000000E1	4.768641291E1
2.944018329E0	-7.799999714E-1	2.255999947E1	-4.175999832E1	4.747061655E1
2.954082562E0	-5.999999642E-1	2.213999939E1	-4.157999802E1	4.711088842E1
2.964146762E0	-5.999999642E-1	2.261999893E1	-4.152000046E1	4.728567214E1
2.974209862E0	-2.999999821E-1	2.279999924E1	-4.175999832E1	4.757969551E1
2.984274062E0	-4.799999893E-1	2.273999977E1	-4.175999832E1	4.755244946E1
2.994338295E0	-3.599999845E-1	2.321999931E1	-4.259999847E1	4.851863393E1
