"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.000725540E-1	4.309694469E-2	-1.268965602E-1	9.859623909E0	9.860534656E0
4.020789870E-1	4.070267081E-2	-1.149251908E-1	9.852440834E0	9.853195162E0
4.040803530E-1	3.112557158E-2	-1.245022863E-1	9.854835510E0	9.855671086E0
4.060816860E-1	3.591412306E-2	-1.316851079E-1	9.854835510E0	9.855780726E0
4.080832860E-1	1.436564885E-2	-1.221080124E-1	9.852440834E0	9.853207961E0
4.100846190E-1	1.675992459E-2	-1.292908341E-1	9.847652435E0	9.848515396E0
4.120859520E-1	7.182824425E-3	-1.292908341E-1	9.852440834E0	9.853291739E0
4.140870520E-1	1.436564885E-2	-1.340793967E-1	9.864412308E0	9.865333944E0
4.160883850E-1	2.633702382E-2	-1.245022863E-1	9.854835510E0	9.855657126E0
4.180897180E-1	1.436564885E-2	-1.268965602E-1	9.859623909E0	9.860450940E0
4.200913510E-1	3.351984918E-2	-1.101366431E-1	9.857229233E0	9.857901491E0
4.220926840E-1	2.873129770E-2	-1.221080124E-1	9.859623909E0	9.860421871E0
4.240940170E-1	2.873129770E-2	-1.292908341E-1	9.878777504E0	9.879665307E0
4.260946500E-1	3.830839694E-2	-1.268965602E-1	9.876383781E0	9.877273251E0
4.280959830E-1	4.070267081E-2	-1.340793967E-1	9.842864037E0	9.843861358E0
4.300973160E-1	3.112557158E-2	-1.268965602E-1	9.857229233E0	9.858095135E0
4.321047820E-1	3.112557158E-2	-1.197137386E-1	9.873989105E0	9.874763847E0
4.341061150E-1	3.112557158E-2	-1.245022863E-1	9.871595383E0	9.872429540E0
4.361074480E-1	4.309694469E-2	-1.245022863E-1	9.862017632E0	9.862897644E0
4.381137480E-1	5.027977005E-2	-1.245022863E-1	9.866806030E0	9.867719600E0
4.401150810E-1	4.549122229E-2	-1.149251908E-1	9.857229233E0	9.858004129E0
4.421164140E-1	4.309694469E-2	-1.245022863E-1	9.873989105E0	9.874868051E0
4.441174800E-1	4.070267081E-2	-1.173194647E-1	9.871595383E0	9.872376409E0
4.461188130E-1	2.394274808E-2	-1.197137386E-1	9.859623909E0	9.860379722E0
4.481201460E-1	1.436564885E-2	-1.292908341E-1	9.864412308E0	9.865270025E0
4.501266460E-1	1.915419847E-2	-1.173194647E-1	9.857229233E0	9.857945977E0
4.521279790E-1	3.112557158E-2	-1.173194647E-1	9.857229233E0	9.857976507E0
4.541293120E-1	3.112557158E-2	-1.077423692E-1	9.852440834E0	9.853079093E0
4.561241120E-1	3.351984918E-2	-1.197137386E-1	9.842864037E0	9.843649090E0
4.581254450E-1	3.591412306E-2	-1.149251908E-1	9.857229233E0	9.857964586E0
4.601267780E-1	4.070267081E-2	-1.101366431E-1	9.871595383E0	9.872293664E0
4.621230440E-1	4.309694469E-2	-1.268965602E-1	9.859623909E0	9.860534656E0
4.641243770E-1	3.830839694E-2	-1.245022863E-1	9.852440834E0	9.853301921E0
4.661257100E-1	3.351984918E-2	-1.173194647E-1	9.857229233E0	9.857984357E0
4.681270760E-1	2.873129770E-2	-1.125309169E-1	9.862017632E0	9.862701479E0
4.701284090E-1	3.591412306E-2	-1.125309169E-1	9.857229233E0	9.857936964E0
4.721297420E-1	3.591412306E-2	-1.221080124E-1	9.842864037E0	9.843686943E0
4.741365420E-1	3.830839694E-2	-1.149251908E-1	9.845257759E0	9.846003030E0
4.761378750E-1	5.746259540E-2	-1.077423692E-1	9.859623909E0	9.860380013E0
4.781392080E-1	5.267404765E-2	-1.077423692E-1	9.873989105E0	9.874717405E0
4.801405410E-1	5.506832153E-2	-1.340793967E-1	9.850046158E0	9.851112583E0
4.821418740E-1	5.267404765E-2	-1.364736706E-1	9.866806030E0	9.867890395E0
4.841432070E-1	4.549122229E-2	-1.364736706E-1	9.871595383E0	9.872643512E0
4.861448070E-1	3.351984918E-2	-1.316851079E-1	9.876383781E0	9.877318520E0
4.881461400E-1	3.830839694E-2	-1.316851079E-1	9.847652435E0	9.848607363E0
4.901475060E-1	4.309694469E-2	-1.292908341E-1	9.854835510E0	9.855777818E0
4.921466720E-1	4.070267081E-2	-1.197137386E-1	9.847652435E0	9.848464173E0
4.941480050E-1	3.351984918E-2	-1.173194647E-1	9.866806030E0	9.867560422E0
4.961493710E-1	2.394274808E-2	-1.173194647E-1	9.857229233E0	9.857956444E0
4.981460370E-1	2.394274808E-2	-1.101366431E-1	9.871595383E0	9.872238790E0
5.001473700E-1	3.112557158E-2	-1.029538140E-1	9.866806030E0	9.867392235E0
5.021487360E-1	3.112557158E-2	-1.221080124E-1	9.871595383E0	9.872399636E0
5.041503690E-1	2.873129770E-2	-1.245022863E-1	9.873989105E0	9.874815804E0
