"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
3.103388469E0	5.999999642E-1	3.504000092E1	-2.951999855E1	4.582130485E1
3.113386035E0	3.599999845E-1	3.479999924E1	-2.987999916E1	4.586920423E1
3.123383535E0	4.199999869E-1	3.479999924E1	-2.969999886E1	4.575266417E1
3.133381101E0	2.999999821E-1	3.468000031E1	-3.005999947E1	4.589548986E1
3.143378667E0	3.599999845E-1	3.438000107E1	-3.023999977E1	4.578833541E1
3.153376233E0	5.999999642E-1	3.450000000E1	-2.976000023E1	4.556607964E1
3.163373799E0	1.079999924E0	3.455999756E1	-2.951999855E1	4.546416331E1
3.173371365E0	8.999999762E-1	3.473999786E1	-2.963999939E1	4.567501522E1
3.183368931E0	1.019999981E0	3.497999954E1	-2.951999855E1	4.578286887E1
3.193366464E0	4.199999869E-1	3.486000061E1	-2.981999969E1	4.587622940E1
3.203397364E0	1.799999923E-1	3.486000061E1	-2.987999916E1	4.591368415E1
3.213428230E0	5.999999642E-1	3.443999863E1	-2.976000023E1	4.552066694E1
